Traffic source,Source type,Source title,Views,Watch time (hours),Average view duration,Impressions,Impressions click-through rate (%)
YT_SEARCH.squirrel for cats to watch,,squirrel for cats to watch,7021,2838.8434,0:24:15,0,
YT_SEARCH.bird watching for cats,,bird watching for cats,6966,4584.6872,0:39:29,0,
YT_SEARCH.貓咪電視,,貓咪電視,6873,2688.2437,0:23:28,0,
YT_SEARCH.video for cat,,video for cat,6816,3051.4785,0:26:51,0,
YT_SEARCH.patsy garden,,patsy garden,6803,13486.6467,1:58:58,0,
YT_SEARCH.bird video for cats,,bird video for cats,6499,3221.0826,0:29:44,0,
YT_SEARCH.cattv,,cattv,6409,5482.8983,0:51:19,0,
YT_SEARCH.bird tv for cats,,bird tv for cats,6377,5373.7838,0:50:33,0,
YT_SEARCH.고양이티비,,고양이티비,6349,8983.6197,1:24:53,0,
YT_SEARCH.kitty tv,,kitty tv,6290,8428.6938,1:20:24,0,
YT_SEARCH.для кошек,,для кошек,6116,3421.6558,0:33:34,0,
YT_SEARCH.birds and squirrels for cats,,birds and squirrels for cats,5965,6271.4495,1:03:04,0,
YT_SEARCH.猫,,猫,5948,2384.3434,0:24:03,0,
YT_SEARCH.cat game,,cat game,5826,2732.0189,0:28:08,0,
YT_SEARCH.cat tv games,,cat tv games,5602,6823.4224,1:13:04,0,
YT_SEARCH.no ads cat tv,,no ads cat tv,5561,15050.5274,2:42:23,0,
YT_SEARCH.cat tv youtube,,cat tv youtube,5534,13193.89,2:23:02,0,
YT_SEARCH.vögel für katzen,,vögel für katzen,5517,2796.3261,0:30:24,0,
YT_SEARCH.live cat tv,,live cat tv,5430,16386.6494,3:01:04,0,
YT_SEARCH.cat videos youtube,,cat videos youtube,5277,12221.6869,2:18:57,0,
YT_SEARCH.bird for cats to watch,,bird for cats to watch,5237,1429.1252,0:16:22,0,
YT_SEARCH.videos cats,,videos cats,5121,5610.7845,1:05:44,0,
YT_SEARCH.猫 喜ぶ 映像,,猫 喜ぶ 映像,5099,2720.3434,0:32:00,0,
YT_SEARCH.video para gatos,,video para gatos,5078,3448.1899,0:40:44,0,
YT_SEARCH.고양이 좋아하는 영상,,고양이 좋아하는 영상,4974,4552.9965,0:54:55,0,
YT_SEARCH.youtube cat tv,,youtube cat tv,4944,11615.5263,2:20:57,0,
YT_SEARCH.tv for cats no ads,,tv for cats no ads,4774,11282.5218,2:21:47,0,
YT_SEARCH.squirrel video for dogs,,squirrel video for dogs,4752,3666.8699,0:46:17,0,
YT_SEARCH.tv cats,,tv cats,4684,7616.7474,1:37:34,0,
YT_SEARCH.cat entertainment,,cat entertainment,4574,6490.4672,1:25:08,0,
YT_SEARCH.냥플릭스,,냥플릭스,4524,6666.5037,1:28:24,0,
YT_SEARCH.squirrel tv for cats,,squirrel tv for cats,4456,4351.1507,0:58:35,0,
YT_SEARCH.mice for cats to watch,,mice for cats to watch,4442,3271.6838,0:44:11,0,
YT_SEARCH.고양이가 좋아하는,,고양이가 좋아하는,4428,7574.7067,1:42:38,0,
YT_SEARCH.games for cats,,games for cats,4400,3595.9357,0:49:02,0,
YT_SEARCH.ネコが喜ぶ動画,,ネコが喜ぶ動画,4396,3499.6427,0:47:45,0,
YT_SEARCH.tv cat,,tv cat,4351,2141.4851,0:29:31,0,
YT_SEARCH.cats videos to watch,,cats videos to watch,4349,1832.1521,0:25:16,0,
YT_SEARCH.katzenvideos,,katzenvideos,4341,3134.3997,0:43:19,0,
YT_SEARCH.birder king,,birder king,4291,7518.1981,1:45:07,0,
YT_SEARCH.tv para gatos,,tv para gatos,4273,3372.0191,0:47:20,0,
YT_SEARCH.고양이가 좋아하는 동영상,,고양이가 좋아하는 동영상,4157,6701.7854,1:36:43,0,
YT_SEARCH.cat channel,,cat channel,4149,4710.182,1:08:06,0,
YT_SEARCH.猫じゃらし,,猫じゃらし,4029,1463.4408,0:21:47,0,
YT_SEARCH.cat videos no ads,,cat videos no ads,3997,9484.8263,2:22:22,0,
YT_SEARCH.とり,,とり,3944,1478.8643,0:22:29,0,
YT_SEARCH.cat tv fish,,cat tv fish,3936,3871.4701,0:59:00,0,
YT_SEARCH.cat tv false ads,,cat tv false ads,3900,9268.8299,2:22:35,0,
YT_SEARCH.видео для котов,,видео для котов,3790,1689.4183,0:26:44,0,
YT_SEARCH.cat watching videos,,cat watching videos,3774,1705.7017,0:27:07,0,
YT_SEARCH.العاب قطط,,العاب قطط,3750,2577.3847,0:41:14,0,
YT_SEARCH.vidéo pour chat,,vidéo pour chat,3686,3078.4762,0:50:06,0,
YT_SEARCH.mouse for cats to watch,,mouse for cats to watch,3649,1457.7318,0:23:58,0,
YT_SEARCH.cat tv for cats,,cat tv for cats,3610,4394.0706,1:13:01,0,
YT_SEARCH.bird video,,bird video,3605,1403.2398,0:23:21,0,
YT_SEARCH.squirrel videos,,squirrel videos,3577,2535.6595,0:42:31,0,
YT_SEARCH.pigeons for cats,,pigeons for cats,3525,2603.925,0:44:19,0,
YT_SEARCH.cat tv pigeons,,cat tv pigeons,3507,3202.0714,0:54:46,0,
YT_SEARCH.katt tv,,katt tv,3487,2508.356,0:43:09,0,
YT_SEARCH.birds video for cats,,birds video for cats,3450,1015.7988,0:17:39,0,
YT_SEARCH.cat tv no commercials,,cat tv no commercials,3254,7969.8985,2:26:57,0,
YT_SEARCH.cat tv halloween,,cat tv halloween,3241,5653.2111,1:44:39,0,
YT_SEARCH.猫が見る映像,,猫が見る映像,3183,2016.2018,0:38:00,0,
YT_SEARCH.貓電視,,貓電視,3157,1427.8178,0:27:08,0,
YT_SEARCH.birds and squirrels,,birds and squirrels,3020,3832.7829,1:16:08,0,
YT_SEARCH.videos for cat,,videos for cat,2955,1680.0933,0:34:06,0,
YT_SEARCH.cats for cats to watch,,cats for cats to watch,2930,1971.1332,0:40:21,0,
YT_SEARCH.птицы для кошек,,птицы для кошек,2916,1086.3662,0:22:21,0,
YT_SEARCH.cat squirrel video,,cat squirrel video,2874,1694.4065,0:35:22,0,
YT_SEARCH.squirrel for cats,,squirrel for cats,2861,1538.7226,0:32:16,0,
YT_SEARCH.猫のための動画,,猫のための動画,2854,4258.6636,1:29:31,0,
YT_SEARCH.ptaki dla kota,,ptaki dla kota,2826,926.2791,0:19:39,0,
YT_SEARCH.cat tv on youtube,,cat tv on youtube,2797,5769.6452,2:03:46,0,
YT_SEARCH.고양이 티비,,고양이 티비,2777,2887.8556,1:02:23,0,
YT_SEARCH.pigeon,,pigeon,2769,1662.3589,0:36:01,0,
YT_SEARCH.cat videos for cats to watch birds,,cat videos for cats to watch birds,2737,2355.8888,0:51:38,0,
YT_SEARCH.dog tv for dogs to watch,,dog tv for dogs to watch,2733,5310.2709,1:56:34,0,
YT_SEARCH.고양이가 좋아하는 음악,,고양이가 좋아하는 음악,2732,3746.7824,1:22:17,0,
YT_SEARCH.cat games birds,,cat games birds,2660,1397.3191,0:31:31,0,
YT_SEARCH.cat videos squirrels,,cat videos squirrels,2658,3751.8066,1:24:41,0,
YT_SEARCH.tv for cat,,tv for cat,2637,2989.1382,1:08:00,0,
YT_SEARCH.猫のための映像,,猫のための映像,2603,1985.276,0:45:45,0,
YT_SEARCH.cats to watch,,cats to watch,2599,2032.0341,0:46:54,0,
YT_SEARCH.halloween cat tv,,halloween cat tv,2590,5455.7799,2:06:23,0,
YT_SEARCH.cat videos for cats to watch fish,,cat videos for cats to watch fish,2511,2616.7016,1:02:31,0,
YT_SEARCH.~,,~,2507,5103.1576,2:02:08,0,
YT_SEARCH.squirrel cat tv,,squirrel cat tv,2445,2932.9059,1:11:58,0,
YT_SEARCH.cat tv christmas,,cat tv christmas,2434,4099.9208,1:41:03,0,
YT_SEARCH.tv for dogs,,tv for dogs,2396,4503.3586,1:52:46,0,
YT_SEARCH.bird cats videos,,bird cats videos,2386,5502.2312,2:18:21,0,
YT_SEARCH.고양이가 좋아하는 소리,,고양이가 좋아하는 소리,2367,2154.0309,0:54:36,0,
YT_SEARCH.cats video,,cats video,2363,1006.6813,0:25:33,0,
YT_SEARCH.cat tv mice,,cat tv mice,2360,2833.9378,1:12:02,0,
YT_SEARCH.猫に見せる映像,,猫に見せる映像,2353,1092.2015,0:27:51,0,
YT_SEARCH.猫が見るテレビ,,猫が見るテレビ,2326,1400.691,0:36:07,0,
YT_SEARCH.ad free cat tv,,ad free cat tv,2301,5528.6624,2:24:09,0,
YT_SEARCH.猫が見る動画,,猫が見る動画,2286,1215.5577,0:31:54,0,
YT_SEARCH.video für katzen,,video für katzen,2278,1246.7412,0:32:50,0,
YT_SEARCH.youtube for cats,,youtube for cats,2273,2596.2127,1:08:31,0,
YT_SEARCH.cat squirrel,,cat squirrel,2264,1600.9293,0:42:25,0,
YT_SEARCH.새,,새,2236,1767.9475,0:47:26,0,
YT_SEARCH.猫の好きな映像,,猫の好きな映像,2205,1058.4005,0:28:48,0,
YT_SEARCH.bird videos for cats to watch no ads,,bird videos for cats to watch no ads,2194,2804.7823,1:16:42,0,
YT_SEARCH.鳥,,鳥,2172,597.2099,0:16:29,0,
YT_SEARCH.pajaros para gatos,,pajaros para gatos,2168,1227.3467,0:33:58,0,
YT_SEARCH.cat enrichment video,,cat enrichment video,2160,3683.8789,1:42:19,0,
YT_SEARCH.movies for cats,,movies for cats,2114,2408.7852,1:08:21,0,
YT_SEARCH.猫の好きな動画,,猫の好きな動画,2097,1231.724,0:35:14,0,
YT_SEARCH.猫の喜ぶ映像,,猫の喜ぶ映像,2087,923.7627,0:26:33,0,
YT_SEARCH.ねこ,,ねこ,2087,953.091,0:27:24,0,
YT_SEARCH.고양이가 좋아하는 영상 새,,고양이가 좋아하는 영상 새,2061,2606.7159,1:15:53,0,
YT_SEARCH.cat videos for cats to watch meow,,cat videos for cats to watch meow,2041,1669.0105,0:49:03,0,
YT_SEARCH.bird watching,,bird watching,2029,1115.9048,0:32:59,0,
YT_SEARCH.christmas cat tv,,christmas cat tv,1993,3796.3853,1:54:17,0,
YT_SEARCH.tv,,tv,1989,1952.4273,0:58:53,0,
YT_SEARCH.cat youtube,,cat youtube,1973,1992.4127,1:00:35,0,
YT_SEARCH.kitten tv,,kitten tv,1941,2602.0708,1:20:26,0,
YT_SEARCH.猫が好きな映像,,猫が好きな映像,1929,949.31,0:29:31,0,
YT_SEARCH.bird feeder cam,,bird feeder cam,1927,1408.6601,0:43:51,0,
YT_SEARCH.для кошек видео,,для кошек видео,1925,968.7615,0:30:11,0,
YT_SEARCH.猫が好きな動画,,猫が好きな動画,1885,994.1198,0:31:38,0,
YT_SEARCH.for cat,,for cat,1878,1053.8693,0:33:40,0,
YT_SEARCH.birds cat tv,,birds cat tv,1845,1189.3438,0:38:40,0,
YT_SEARCH.nature videos for cats,,nature videos for cats,1833,2682.1343,1:27:47,0,
YT_SEARCH.猫 遊び 画面,,猫 遊び 画面,1827,840.1442,0:27:35,0,
YT_SEARCH.videos for cats squirrels,,videos for cats squirrels,1822,1177.9719,0:38:47,0,
YT_SEARCH.katzenspiel,,katzenspiel,1815,1339.1417,0:44:16,0,
