Traffic source,Source type,Source title,Views,Watch time (hours),Average view duration,Impressions,Impressions click-through rate (%)
YT_SEARCH.cat birds video,,cat birds video,939,588.2215,0:37:35,0,
YT_SEARCH.videos cats like to watch,,videos cats like to watch,936,537.4787,0:34:27,0,
YT_SEARCH.قطط,,قطط,933,707.261,0:45:28,0,
YT_SEARCH.小鳥,,小鳥,928,262.3663,0:16:57,0,
YT_SEARCH.cat bird,,cat bird,927,490.8743,0:31:46,0,
YT_SEARCH.貓咪遊戲,,貓咪遊戲,916,417.9846,0:27:22,0,
YT_SEARCH.fish video for cats,,fish video for cats,912,425.6172,0:28:00,0,
YT_SEARCH.鳥の鳴き声,,鳥の鳴き声,911,360.9719,0:23:46,0,
YT_SEARCH.ネコが見る動画,,ネコが見る動画,909,706.8006,0:46:39,0,
YT_SEARCH.birds for cats to watch live,,birds for cats to watch live,893,1512.2216,1:41:36,0,
YT_SEARCH.cat calming videos,,cat calming videos,880,1254.8728,1:25:33,0,
YT_SEARCH.kocia telewizja,,kocia telewizja,873,275.5111,0:18:56,0,
YT_SEARCH.猫 好きな映像,,猫 好きな映像,873,1143.8484,1:18:36,0,
YT_SEARCH.cat videos for cats to watch live,,cat videos for cats to watch live,872,2093.9779,2:24:04,0,
YT_SEARCH.squirrels and birds,,squirrels and birds,872,962.4963,1:06:13,0,
YT_SEARCH.猫が喜ぶ映像 ひも,,猫が喜ぶ映像 ひも,871,561.1293,0:38:39,0,
YT_SEARCH.animals for cats to watch,,animals for cats to watch,868,787.7952,0:54:27,0,
YT_SEARCH.猫テレビ,,猫テレビ,862,488.855,0:34:01,0,
YT_SEARCH.relaxing videos for cats,,relaxing videos for cats,859,1225.6521,1:25:36,0,
YT_SEARCH.猫の動画,,猫の動画,858,335.2688,0:23:26,0,
YT_SEARCH.cat enrichment,,cat enrichment,857,1357.6022,1:35:02,0,
YT_SEARCH.고양이가좋아하는화면,,고양이가좋아하는화면,849,822.3419,0:58:06,0,
YT_SEARCH.ptaszki dla kota,,ptaszki dla kota,838,249.5075,0:17:51,0,
YT_SEARCH.貓,,貓,837,224.4173,0:16:05,0,
YT_SEARCH.cat stimulation,,cat stimulation,835,1216.0865,1:27:23,0,
YT_SEARCH.cat shows,,cat shows,828,1248.1332,1:30:26,0,
YT_SEARCH.fish videos for cats to watch,,fish videos for cats to watch,811,473.9882,0:35:04,0,
YT_SEARCH.cats tv birds,,cats tv birds,808,379.6947,0:28:11,0,
YT_SEARCH.games for cats to watch,,games for cats to watch,793,467.1128,0:35:20,0,
YT_SEARCH.cat bird tv,,cat bird tv,790,591.9106,0:44:57,0,
YT_SEARCH.bird video for cat,,bird video for cat,772,348.585,0:27:05,0,
YT_SEARCH.katzen video,,katzen video,770,570.9683,0:44:29,0,
YT_SEARCH.cat tv relax my cat,,cat tv relax my cat,765,1025.4384,1:20:25,0,
YT_SEARCH.猫の見る映像,,猫の見る映像,761,1057.3014,1:23:21,0,
YT_SEARCH.videos for cats on youtube,,videos for cats on youtube,759,1352.7736,1:46:56,0,
YT_SEARCH.cat video for cats,,cat video for cats,758,289.8322,0:22:56,0,
YT_SEARCH.mouse video for cats to watch,,mouse video for cats to watch,757,553.178,0:43:50,0,
YT_SEARCH.lizards for cats to watch,,lizards for cats to watch,749,489.1637,0:39:11,0,
YT_SEARCH.cats videos for cats to watch,,cats videos for cats to watch,741,362.1026,0:29:19,0,
YT_SEARCH.cat play video,,cat play video,737,380.6109,0:30:59,0,
YT_SEARCH.stimulating videos for cats,,stimulating videos for cats,736,1525.1434,2:04:19,0,
YT_SEARCH.live birds,,live birds,734,624.2957,0:51:01,0,
YT_SEARCH.interactive cat video,,interactive cat video,732,1120.345,1:31:49,0,
YT_SEARCH.cat tv no ads live,,cat tv no ads live,725,1918.9523,2:38:48,0,
YT_SEARCH.cat tv cats,,cat tv cats,721,550.2047,0:45:47,0,
YT_SEARCH.bird cat tv,,bird cat tv,720,494.4447,0:41:12,0,
YT_SEARCH.cat games for cats only,,cat games for cats only,719,596.4874,0:49:46,0,
YT_SEARCH.fish for cats,,fish for cats,718,441.8442,0:36:55,0,
YT_SEARCH.videos for cats youtube,,videos for cats youtube,716,1640.1914,2:17:26,0,
YT_SEARCH.cat bird watching videos,,cat bird watching videos,716,366.2559,0:30:41,0,
YT_SEARCH.shows for cats to watch,,shows for cats to watch,711,637.9313,0:53:50,0,
YT_SEARCH.cat video birds,,cat video birds,710,418.1708,0:35:20,0,
YT_SEARCH.for cats to watch birds,,for cats to watch birds,710,636.3043,0:53:46,0,
YT_SEARCH.고양이영상,,고양이영상,707,615.9034,0:52:16,0,
YT_SEARCH.cat tv squirrels no ads,,cat tv squirrels no ads,705,1407.5978,1:59:47,0,
YT_SEARCH.squirrels cat tv,,squirrels cat tv,704,590.6382,0:50:20,0,
YT_SEARCH.cats birds,,cats birds,704,408.8295,0:34:50,0,
YT_SEARCH.bird videos for dogs,,bird videos for dogs,699,343.8735,0:29:31,0,
YT_SEARCH.ネコが好きな動画,,ネコが好きな動画,699,755.5742,1:04:51,0,
YT_SEARCH.cat tv bird,,cat tv bird,699,512.3189,0:43:58,0,
YT_SEARCH.pajaritos para gatos,,pajaritos para gatos,694,447.3716,0:38:40,0,
YT_SEARCH.chicken tv,,chicken tv,694,1116.3194,1:36:30,0,
YT_SEARCH.좋아하는 영상,,좋아하는 영상,682,1134.8425,1:39:50,0,
YT_SEARCH.live birds for cats,,live birds for cats,682,744.5407,1:05:30,0,
YT_SEARCH.고양이가 좋아하는 영상 쥐,,고양이가 좋아하는 영상 쥐,677,653.7561,0:57:56,0,
YT_SEARCH.katzen fernsehen,,katzen fernsehen,671,426.192,0:38:06,0,
YT_SEARCH.عصافير للقطط,,عصافير للقطط,670,348.5183,0:31:12,0,
YT_SEARCH.고양이 새 영상,,고양이 새 영상,668,511.9228,0:45:58,0,
YT_SEARCH.birds videos for cats,,birds videos for cats,664,278.1899,0:25:08,0,
YT_SEARCH.bird feeder,,bird feeder,662,380.4869,0:34:29,0,
YT_SEARCH.cat live stream,,cat live stream,662,751.1444,1:08:04,0,
YT_SEARCH.鳥 猫,,鳥 猫,661,227.7213,0:20:40,0,
YT_SEARCH.猫じゃらし動画,,猫じゃらし動画,660,212.6005,0:19:19,0,
YT_SEARCH.cat videos for cats to watch mouse,,cat videos for cats to watch mouse,660,426.2915,0:38:45,0,
YT_SEARCH.video for cats no ads,,video for cats no ads,657,1189.3123,1:48:36,0,
YT_SEARCH.고양이 놀이,,고양이 놀이,657,714.5418,1:05:15,0,
YT_SEARCH.cat videos to watch,,cat videos to watch,656,383.1665,0:35:02,0,
YT_SEARCH.katte tv,,katte tv,656,293.4282,0:26:50,0,
YT_SEARCH.tv gato,,tv gato,654,568.4289,0:52:08,0,
YT_SEARCH.birds for cats no ads,,birds for cats no ads,640,819.6276,1:16:50,0,
YT_SEARCH.cat tv chickens,,cat tv chickens,639,486.4969,0:45:40,0,
YT_SEARCH.cat sensory,,cat sensory,635,427.537,0:40:23,0,
YT_SEARCH.youtube videos cats,,youtube videos cats,634,1598.3708,2:31:15,0,
YT_SEARCH.live cat tv for cats to watch 😸 birds & squirrels all day 🕊🐿 bird videos for cats,,live cat tv for cats to watch 😸 birds & squirrels all day 🕊🐿 bird videos for cats,634,10.6747,0:01:00,0,
YT_SEARCH.cats playing,,cats playing,633,685.9703,1:05:01,0,
YT_SEARCH.tv garden,,tv garden,630,21.0591,0:02:00,0,
YT_SEARCH.youtube cats,,youtube cats,630,1021.7567,1:37:18,0,
YT_SEARCH.cat live,,cat live,628,392.8482,0:37:31,0,
YT_SEARCH.cat tb,,cat tb,627,251.0034,0:24:01,0,
YT_SEARCH.cats to watch videos,,cats to watch videos,619,344.1261,0:33:21,0,
YT_SEARCH.video cats,,video cats,618,421.332,0:40:54,0,
YT_SEARCH.cat tv no ads birds,,cat tv no ads birds,616,1037.8801,1:41:05,0,
YT_SEARCH.cat tv 🕊 spring birds & squirrels find a food stash 🐿 video for cats,,cat tv 🕊 spring birds & squirrels find a food stash 🐿 video for cats,616,2.8514,0:00:16,0,
YT_SEARCH.cat to watch,,cat to watch,615,179.5885,0:17:31,0,
YT_SEARCH.catflix,,catflix,614,612.1606,0:59:49,0,
YT_SEARCH.猫が反応する映像,,猫が反応する映像,614,175.3738,0:17:08,0,
YT_SEARCH.猫 鳴き声,,猫 鳴き声,613,148.7706,0:14:33,0,
YT_SEARCH.カラス,,カラス,609,192.6245,0:18:58,0,
YT_SEARCH.patsys garden,,patsys garden,608,1181.4774,1:56:35,0,
YT_SEARCH.birds for cats to watch with sound,,birds for cats to watch with sound,607,651.1246,1:04:21,0,
YT_SEARCH.ネコの好きな動画,,ネコの好きな動画,605,381.5419,0:37:50,0,
YT_SEARCH.bird sounds for cats,,bird sounds for cats,603,544.3405,0:54:09,0,
YT_SEARCH.ネコ動画,,ネコ動画,601,414.7321,0:41:24,0,
YT_SEARCH.birds squirrels for cats,,birds squirrels for cats,600,672.7357,1:07:16,0,
YT_SEARCH.cat tv squirrels and birds,,cat tv squirrels and birds,594,608.3196,1:01:26,0,
YT_SEARCH.cat sounds,,cat sounds,591,500.5587,0:50:49,0,
YT_SEARCH.cat string game,,cat string game,585,501.5166,0:51:26,0,
YT_SEARCH.gettysburg bird cam,,gettysburg bird cam,584,46.4295,0:04:46,0,
YT_SEARCH.chat,,chat,583,316.15,0:32:32,0,
YT_SEARCH.cat tv squirrel,,cat tv squirrel,580,504.967,0:52:14,0,
YT_SEARCH.videos of cats,,videos of cats,578,242.8162,0:25:12,0,
YT_SEARCH.pigeons,,pigeons,574,376.4382,0:39:20,0,
YT_SEARCH.music for cats,,music for cats,574,865.5474,1:30:28,0,
YT_SEARCH.cat tv mouse - ultimate mouse maze mania! watch cats go crazy for treats - dog tv -4k uhd 60fps,,cat tv mouse - ultimate mouse maze mania! watch cats go crazy for treats - dog tv -4k uhd 60fps,574,0.5965,0:00:03,0,
YT_SEARCH.cat video no ads,,cat video no ads,567,1171.5912,2:03:58,0,
YT_SEARCH.cat tv with squirrels,,cat tv with squirrels,566,726.8837,1:17:03,0,
YT_SEARCH.24/7 cat tv,,24/7 cat tv,565,1373.3523,2:25:50,0,
YT_SEARCH.cat tv mouse,,cat tv mouse,564,426.4657,0:45:22,0,
YT_SEARCH.kitten videos for cats to watch,,kitten videos for cats to watch,562,299.0662,0:31:55,0,
YT_SEARCH.cat fish game,,cat fish game,562,408.5882,0:43:37,0,
YT_SEARCH.고양이가 좋아하는 영상 벌레,,고양이가 좋아하는 영상 벌레,562,563.6738,1:00:10,0,
YT_SEARCH.squirrels for dogs to watch,,squirrels for dogs to watch,562,316.8168,0:33:49,0,
YT_SEARCH.cat tv for cats to watch squirrels,,cat tv for cats to watch squirrels,561,663.8652,1:11:00,0,
YT_SEARCH.relaxing cat videos,,relaxing cat videos,560,949.9767,1:41:46,0,
YT_SEARCH.jeux pour chat,,jeux pour chat,559,295.5834,0:31:43,0,
YT_SEARCH.squirrel cat,,squirrel cat,555,201.4087,0:21:46,0,
YT_SEARCH.猫 喜ぶ,,猫 喜ぶ,555,243.2307,0:26:17,0,
YT_SEARCH.cat tv no ads mice,,cat tv no ads mice,555,674.1588,1:12:52,0,
YT_SEARCH.lizard for cats,,lizard for cats,555,369.0453,0:39:53,0,
YT_SEARCH.garden birds,,garden birds,554,223.2983,0:24:11,0,
YT_SEARCH.squirrels for dogs,,squirrels for dogs,553,481.0406,0:52:11,0,
YT_SEARCH.cat for cats to watch,,cat for cats to watch,552,165.5243,0:17:59,0,
YT_SEARCH.鳥の動画,,鳥の動画,552,229.3992,0:24:56,0,
YT_SEARCH.videos for cats to watch to sleep,,videos for cats to watch to sleep,551,627.8612,1:08:22,0,
YT_SEARCH.cat tv live stream,,cat tv live stream,549,1461.4208,2:39:43,0,
YT_SEARCH.cat tv string,,cat tv string,548,499.0493,0:54:38,0,
YT_SEARCH.ecureuil pour chat,,ecureuil pour chat,545,447.7083,0:49:17,0,
YT_SEARCH.tv dla kota,,tv dla kota,544,212.4176,0:23:25,0,
YT_SEARCH.tv gatos,,tv gatos,541,462.2941,0:51:16,0,
YT_SEARCH.christmas squirrels,,christmas squirrels,541,372.5571,0:41:19,0,
YT_SEARCH.youtube cat,,youtube cat,541,1090.7748,2:00:58,0,
YT_SEARCH.kitty videos,,kitty videos,537,639.9267,1:11:30,0,
YT_SEARCH.animal videos for cats,,animal videos for cats,537,501.7191,0:56:03,0,
YT_SEARCH.bird cat,,bird cat,537,275.3257,0:30:45,0,
YT_SEARCH.katzen tv vögel,,katzen tv vögel,536,297.5384,0:33:18,0,
YT_SEARCH.pigeon videos,,pigeon videos,535,321.5255,0:36:03,0,
YT_SEARCH.vids for cats,,vids for cats,533,183.8127,0:20:41,0,
YT_SEARCH.cats games,,cats games,528,330.8677,0:37:35,0,
YT_SEARCH.mice for cats,,mice for cats,527,421.6451,0:48:00,0,
YT_SEARCH.猫の動画 猫に見せる,,猫の動画 猫に見せる,526,233.6177,0:26:38,0,
YT_SEARCH.cat tv patsy's garden,,cat tv patsy's garden,525,925.5316,1:45:46,0,
YT_SEARCH.stuff for cats to watch,,stuff for cats to watch,525,497.4653,0:56:51,0,
YT_SEARCH.für katzen videos,,für katzen videos,523,295.7445,0:33:55,0,
YT_SEARCH.고양이가 좋아하는 화면,,고양이가 좋아하는 화면,522,535.4678,1:01:32,0,
YT_SEARCH.para gatos,,para gatos,519,392.4594,0:45:22,0,
YT_SEARCH.猫 テレビ,,猫 テレビ,519,339.7475,0:39:16,0,
YT_SEARCH.cats games on screen,,cats games on screen,516,287.9797,0:33:29,0,
YT_SEARCH.cartoons for cats,,cartoons for cats,514,557.0242,1:05:01,0,
YT_SEARCH.cat play,,cat play,511,316.4295,0:37:09,0,
YT_SEARCH.고양이 유튜브,,고양이 유튜브,508,498.8757,0:58:55,0,
YT_SEARCH.tv pour chat,,tv pour chat,507,548.9413,1:04:57,0,
YT_SEARCH.cat sound,,cat sound,506,295.7076,0:35:03,0,
YT_SEARCH.youtube tv,,youtube tv,506,945.4885,1:52:06,0,
YT_SEARCH.kittens,,kittens,505,516.1268,1:01:19,0,
YT_SEARCH.show for cats,,show for cats,504,513.2,1:01:05,0,
YT_SEARCH.ネコが喜ぶ,,ネコが喜ぶ,503,296.4859,0:35:21,0,
YT_SEARCH.24/7 live cat tv no ads,,24/7 live cat tv no ads,502,1542.9234,3:04:24,0,
YT_SEARCH.squirrel tv for dogs,,squirrel tv for dogs,500,396.5426,0:47:35,0,
YT_SEARCH.bird videos for cat,,bird videos for cat,500,377.4549,0:45:17,0,
YT_SEARCH.videos of cats for cats to watch,,videos of cats for cats to watch,499,335.9491,0:40:23,0,
YT_SEARCH.고양이가 좋아하는 소리 영상,,고양이가 좋아하는 소리 영상,497,453.5031,0:54:44,0,
YT_SEARCH.laser for cats to watch,,laser for cats to watch,492,277.0202,0:33:46,0,
YT_SEARCH.cat tv for cats to watch fish,,cat tv for cats to watch fish,491,528.8645,1:04:37,0,
YT_SEARCH.game for cat,,game for cat,488,205.9737,0:25:19,0,
YT_SEARCH.tv chat,,tv chat,488,405.768,0:49:53,0,
YT_SEARCH.film pour chat,,film pour chat,487,435.4691,0:53:39,0,
YT_SEARCH.cat videos for cat,,cat videos for cat,487,314.2228,0:38:42,0,
YT_SEARCH.cat tv 24/7,,cat tv 24/7,486,1465.3612,3:00:54,0,
YT_SEARCH.bird cat videos,,bird cat videos,486,417.8849,0:51:35,0,
YT_SEARCH.videos to entertain cats,,videos to entertain cats,486,654.7855,1:20:50,0,
YT_SEARCH.cat nature video,,cat nature video,485,702.2737,1:26:52,0,
YT_SEARCH.cat christmas,,cat christmas,485,657.3786,1:21:19,0,
YT_SEARCH.oiseaux pour chat,,oiseaux pour chat,482,215.438,0:26:49,0,
Showing top 500 results
