Traffic source,Source type,Source title,Views,Watch time (hours),Average view duration,Impressions,Impressions click-through rate (%)
YT_SEARCH.walk in the forest,,walk in the forest,103,94.0388,0:54:46,0,
YT_SEARCH.fireplace,,fireplace,103,215.3727,2:05:27,0,
YT_SEARCH.dog gopro,,dog gopro,102,218.9741,2:08:48,0,
YT_SEARCH.walking in nature,,walking in nature,102,109.526,1:04:25,0,
YT_SEARCH.cartoons for dogs to watch,,cartoons for dogs to watch,100,170.5256,1:42:18,0,
YT_SEARCH.dog background,,dog background,100,187.8225,1:52:41,0,
YT_SEARCH.dog anxiety,,dog anxiety,100,249.5733,2:29:44,0,
YT_SEARCH.vídeos perros,,vídeos perros,99,82.9061,0:50:14,0,
YT_SEARCH.dog anxiety tv,,dog anxiety tv,99,238.5457,2:24:34,0,
YT_SEARCH.tv dla psa,,tv dla psa,99,58.4692,0:35:26,0,
YT_SEARCH.dog music to go to sleep,,dog music to go to sleep,98,268.5703,2:44:25,0,
YT_SEARCH.movie for dogs to watch,,movie for dogs to watch,97,76.1814,0:47:07,0,
YT_SEARCH.dog documentary,,dog documentary,97,129.8432,1:20:18,0,
YT_SEARCH.videos entretenidos para perros,,videos entretenidos para perros,97,126.7346,1:18:23,0,
YT_SEARCH.pet,,pet,97,185.4753,1:54:43,0,
YT_SEARCH.calm dog music anxiety,,calm dog music anxiety,96,172.1592,1:47:35,0,
YT_SEARCH.dog adventures,,dog adventures,96,167.2788,1:44:32,0,
YT_SEARCH.nature dogs,,nature dogs,96,154.1097,1:36:19,0,
YT_SEARCH.canal para cachorro,,canal para cachorro,96,126.5215,1:19:04,0,
YT_SEARCH.dogs on the beach,,dogs on the beach,96,94.6722,0:59:10,0,
YT_SEARCH.no ads sleep music,,no ads sleep music,96,250.9307,2:36:49,0,
YT_SEARCH.sounds dogs love,,sounds dogs love,95,136.8334,1:26:25,0,
YT_SEARCH.videos for dogs no ads,,videos for dogs no ads,94,205.0181,2:10:51,0,
YT_SEARCH.ambience no ads,,ambience no ads,94,194.5197,2:04:09,0,
YT_SEARCH.tv for dogs to watch colors,,tv for dogs to watch colors,94,126.7031,1:20:52,0,
YT_SEARCH.télé pour chien,,télé pour chien,93,127.8418,1:22:28,0,
YT_SEARCH.tv shows for dogs,,tv shows for dogs,93,127.2667,1:22:06,0,
YT_SEARCH.dog enrichment,,dog enrichment,93,156.4141,1:40:54,0,
Showing top 500 results
